Time,In/Temperature (BMS ECM/Power Limits),road_slope,In/Specific Consumption Avg (BMS Monitor),In/Energy (BMS Monitor),In/Desired Velocity (Vehicle Monitor),In/Actual Velocity (Vehicle Monitor),In/Distance (Vehicle Monitor),In/Range (BMS Monitor),In/Voltage (BMS Monitor),In/Current (BMS Monitor),In/Power (BMS Monitor),In/SoC (BMS Monitor)
77,293.1789695,258,30.43906088,38.37906896,34.69400024,35.36696587,0.460780937,126.0849312,479.456683,-14.08746815,-6.754330752,79.76116179
78,293.1791532,258,30.23641892,38.37701724,35.12272783,35.68340279,0.470654643,126.9231563,479.7347356,-11.78247531,-5.652462679,79.75740959
79,293.1792422,258,29.95561239,38.37536583,35.18000031,35.75725359,0.480579446,128.1074322,479.8906039,-10.48416069,-5.031250204,79.75438945
80,293.1792896,258,29.63991115,38.37393892,35.25999832,35.69901989,0.490512359,129.4671186,480.3466101,-6.727791147,-3.231671671,79.75177985
81,293.1792304,258,29.17153294,38.37338663,34.80999756,35.13449169,0.500364891,131.5439497,481.0680642,-0.805818186,-0.387653395,79.7507698
82,293.1791472,258,28.67415215,38.37332629,33.95999908,34.22984262,0.509999468,133.8254958,481.1181229,-0.394646134,-0.189871407,79.75065944
83,293.1790831,258,28.25119472,38.37294201,33.12363712,33.55428789,0.519394185,135.8276788,480.2958238,-7.131832168,-3.425389207,79.74995664
84,293.179102,258,27.99414056,38.37167341,33.13899803,33.44062815,0.528695145,137.0703749,480.0656644,-9.003223545,-4.322138493,79.74763655
85,293.179277,259,27.86577927,38.36976056,33.14999771,33.74078203,0.537995038,137.6949131,478.5234439,-21.62416625,-10.34767051,79.74413817
86,293.1800667,259,28.05487035,38.36605813,35.09800034,35.10866154,0.547566031,136.7536462,478.7618826,-19.62396112,-9.395204572,79.73736675
87,293.1803642,259,27.99846893,38.36360974,35.49599915,35.68284665,0.557413811,137.0203844,479.5817786,-12.8714531,-6.172914372,79.73288878
88,293.1804024,259,27.72534746,38.36250585,35.52999878,35.40550551,0.567328399,138.3661861,481.4228233,4.01250658,1.931712246,79.73086982
89,293.180332,259,27.3025515,38.36297272,33.84299927,34.10437851,0.576956515,140.5105772,480.7133959,-3.585307766,-1.723505471,79.7317237
90,293.1803142,259,26.93587905,38.36340486,33.47999954,32.6689249,0.586312679,142.4249225,482.3829179,18.11164802,8.736749619,79.73251408
91,293.1810115,259,26.50729209,38.36811573,29.61999893,26.63987359,0.594747459,144.7455123,484.645213,51.27643454,24.85087854,79.74112994
92,293.1818186,259,26.19533244,38.37300533,18.03799934,17.80255285,0.600702551,146.4879494,481.5459532,5.590872184,2.692261875,79.75007245
93,293.1817323,259,26.038213,38.37313329,16.04818136,15.74621998,0.60530636,147.3723764,480.872001,-2.410384225,-1.159086285,79.75030646
94,293.1816544,259.8333333,25.92982215,38.37268695,15.27999973,14.86925766,0.609557977,147.9866955,480.8043182,-2.959837069,-1.423102444,79.74949017
95,293.1816072,260,25.88004325,38.37194703,14.34999943,14.501617,0.613589462,148.2684811,479.9520454,-9.938917977,-4.770204012,79.74813696
96,293.1817689,260,26.02602741,38.36995809,16.0960001,15.83030106,0.61778985,147.4291773,479.412661,-14.33710831,-6.873391245,79.74449943
97,293.1821054,260,26.24524357,38.36739338,17.44000053,17.5662722,0.622401802,146.1879874,478.3506955,-23.01326532,-11.00841147,79.73980881
98,293.1828203,260,26.58816161,38.36386528,20.50636361,19.91707492,0.627643876,144.2892737,479.3407491,-14.85196872,-7.119153812,79.73335615
99,293.182871,260,26.58340317,38.36240215,20.39399948,20.29919428,0.633260142,144.3095976,480.449192,-5.744954272,-2.760158638,79.73068015
100,293.1827961,260,26.4326361,38.36188643,19.81999969,19.7339029,0.638836275,145.1307629,480.9387594,-1.724250349,-0.829258824,79.72973691
101,293.1827052,260,26.25803457,38.36168815,18.93999863,18.76765119,0.64419059,146.0950478,481.0545154,-0.772632951,-0.37167857,79.72937427
102,293.1826134,260,26.09742353,38.3615372,17.82000008,17.64449465,0.649246478,146.9935802,480.9748734,-1.423807101,-0.68481544,79.72909818
103,293.1825238,260,25.95293671,38.36130629,16.78363592,16.51520332,0.653995565,147.8110424,480.9802221,-1.377095872,-0.662355878,79.72867585
104,293.1824348,259,25.82402149,38.36106134,15.53999996,15.23965058,0.658407142,148.5479764,480.9187624,-1.878016501,-0.903173371,79.72822785
